'data.frame':	1262 obs. of  4 variables:
 $ Date: Date, format: "1996-01-03" "1996-01-04" ...
 $ INTC: num  -0.01504 -0.00434 0 0.00217 -0.04662 ...
 $ MSFT: num  -0.03256 0.00574 -0.01151 -0.00146 -0.07288 ...
 $ GE  : num  0.00169 -0.01195 0.00172 0.00684 -0.00963 ...
           Date          INTC          MSFT            GE
1    1996-01-03 -0.0150378774 -0.0325598781  0.0016924128
2    1996-01-04 -0.0043403997  0.0057388835 -0.0119494265
3    1996-01-05  0.0000000000 -0.0115108920  0.0017182207
4    1996-01-08  0.0021655766 -0.0014551794  0.0068351939
5    1996-01-09 -0.0466236967 -0.0728815171 -0.0096277539
6    1996-01-10 -0.0160371340  0.0269205196 -0.0321196242
7    1996-01-11  0.0495681817  0.0503017280  0.0017761609
8    1996-01-12 -0.0044073224 -0.0101453979 -0.0035554822
9    1996-01-15 -0.0591060833 -0.0386424574  0.0000000000
10   1996-01-16  0.0435328780  0.0459023042  0.0088565039
11   1996-01-17 -0.1088592375 -0.0175186553  0.0070359983
12   1996-01-18  0.0198117734  0.0318821206  0.0156354590
13   1996-01-19  0.0073215511  0.0473670715  0.0238552121
14   1996-01-22  0.0120898632  0.0013574426 -0.0033756001
15   1996-01-23  0.0131367554 -0.0275499518 -0.0136091542
16   1996-01-24  0.0383908213  0.0193599836  0.0102221209
17   1996-01-25 -0.0022794295 -0.0207553701  0.0134716765
18   1996-01-26  0.0068373827  0.0125066119  0.0099839576
19   1996-01-29 -0.0102736855 -0.0013799572 -0.0083116687
20   1996-01-30 -0.0057634485  0.0048303514  0.0083116687
21   1996-01-31  0.0202977994  0.0184083997  0.0164189135
22   1996-02-01  0.0182225886  0.0174129168  0.0032548494
23   1996-02-02  0.0088394748 -0.0120220681  0.0016155476
24   1996-02-05  0.0303713401  0.0433972563  0.0128859556
25   1996-02-06  0.0169574141 -0.0064537411  0.0127220180
26   1996-02-07 -0.0212420819  0.0038805438 -0.0095243613
27   1996-02-08 -0.0064546736  0.0204348967  0.0142489007
28   1996-02-09  0.0021654344  0.0125589590 -0.0015749305
29   1996-02-12  0.0040268789 -0.0062597637  0.0031473845
30   1996-02-13 -0.0192280099  0.0012534854  0.0015699853
31   1996-02-14  0.0152011310 -0.0088156752 -0.0126216950
32   1996-02-15 -0.0086620417 -0.0025389062 -0.0095699726
33   1996-02-16  0.0010903602 -0.0063633504 -0.0064286188
34   1996-02-20  0.0054062471 -0.0012759068 -0.0064702135
35   1996-02-21  0.0234842840  0.0215041157  0.0112935887
36   1996-02-22  0.0291081398  0.0259413920  0.0222269260
37   1996-02-23 -0.0030766208  0.0097088141  0.0015699853
38   1996-02-26 -0.0072202480 -0.0281728645 -0.0157963378
39   1996-02-27 -0.0020801672 -0.0049813403 -0.0096005487
40   1996-02-28  0.0082683550  0.0000000000 -0.0211242224
41   1996-02-29 -0.0324108360 -0.0144621558 -0.0082431539
